Player,Team,Type,Location,Games,TOTAL POINTS,SUCCESSFUL RAIDS,RAID POINTS,SUCCESSFUL TACKLES,TACKLE POINTS,AVG RAID POINTS,AVG TACKLE POINTS,DO-OR-DIE RAID POINTS,SUPER RAIDS,SUPER TACKLES,SUPER 10S,HIGH 5S
Chand Singh,Haryana Steelers,Defender, Left Corner,7,6,1,1,4,5,,0.71,,,1,,
Azad Singh,U.P. Yoddha,Raider,,4,6,3,6,,,1.5,,,,,,
Anand,Tamil Thalaivas,Raider,,5,6,3,6,,,1.2,,3,1,,,
Young Chang Ko,U Mumba,Defender, Left Cover,10,6,,,4,6,,0.6,,,2,,
Vijay Kumar,Bengaluru Bulls,Defender, Right Corner,9,5,,,4,5,,0.56,,,1,,
Ashish,Patna Pirates,Raider,,7,5,3,5,,,0.71,,1,,,,
Lalit Chaudhary,Gujarat Fortunegiants,Raider,,4,5,1,2,2,3,0.5,,,,1,,
Krushna Madane,Telugu Titans,Defender,,8,5,,,5,5,0,0.63,,,,,
Abolfazl Maghsodloumahali,Gujarat Fortunegiants,Raider,,6,5,3,5,,,1,,1,,,,
Jawahar Dagar,Patna Pirates,Defender,,7,5,,,5,5,,0.71,,,,,
Ashish Kumar,Bengaluru Bulls,All Rounder,,6,5,,,3,5,0,0.83,,,2,,
Elavarasan A,Jaipur Pink Panthers,Defender, Left Cover,3,4,,,3,4,,1.33,,,1,,
Harmanjit Singh,Gujarat Fortunegiants,Raider,,3,4,4,4,,,1.33,,,,,,
Sachin Kumar,U.P. Yoddha,All Rounder,,12,4,,,3,4,0,0.33,,,1,,
Gurvinder Singh,Gujarat Fortunegiants,Raider,,2,4,3,4,,,2,,,,,,
Ajay,Bengaluru Bulls,Defender,,8,4,1,2,2,2,,0.25,,,,,
Parveen,Haryana Steelers,Defender, Left Cover,6,4,,,3,4,,0.67,,,1,,
Purna Singh,Patna Pirates,Raider,,6,4,3,4,,,0.8,,1,,,,
Mayur Shivtarkar,Bengal Warriors,All Rounder,,6,4,,,4,4,,0.67,,,,,
Adarsh T,Bengal Warriors,Defender, Left Corner,9,3,,,3,3,,0.33,,,,,
Rakesh Narwal,Bengal Warriors,Raider,,1,3,1,3,,,,,,,,,
Ravinder,Patna Pirates,All Rounder,,5,3,,,2,3,,0.6,,,1,,
Palle Mallikarjun,Telugu Titans,Raider,,3,2,2,2,,,0.67,,,,,,
Balram,Dabang Delhi K.C.,All Rounder,,1,2,1,2,,,,,2,,,,
Rajaguru Subramanian,U Mumba,Defender, Right Cover,4,2,,,2,2,,,,,,,
Ravindra Ramesh Kumawat,Bengal Warriors,Raider,,2,2,1,1,1,1,0.5,,,,,,
Kamal Singh,Telugu Titans,Raider,,3,2,,,2,2,0,0.67,,,,,
Arun Kumar HN,Haryana Steelers,Raider,,2,2,1,2,,,,,,,,,
Aman Kadian,Dabang Delhi K.C.,Raider,,2,2,1,2,,,,,,,,,
Ponparthiban Subramanian,Tamil Thalaivas,Defender, Right Cover,5,2,,,2,2,,0.4,,,,,
Gurdeep,U.P. Yoddha,All Rounder,,2,2,,,2,2,,,,,,,
Ajinkya Rohidas Kapre,U Mumba,All Rounder,,2,1,1,1,,,,,,,,,
Aman,Bengaluru Bulls,Defender, Left Corner,2,1,,,1,1,,,,,,,
Satywan,Dabang Delhi K.C.,Defender, Left Cover,1,1,,,1,1,,,,,,,
Emad Sedaghatnia,Puneri Paltan,Raider,,1,1,1,1,,,,,,,,,
Sombir,Dabang Delhi K.C.,Defender,,7,1,,,1,1,,,,,,,
Mohammad Taghi Paein Mahali,Bengal Warriors,Raider,,3,1,,,1,1,,,,,,,
Naveen Narwal,Bengal Warriors,Defender, Right Cover,3,1,,,1,1,,0.33,,,,,
Vikas Chhillar,Haryana Steelers,Raider,,1,1,1,1,,,,,,,,,
Yashwant Bishnoi,Tamil Thalaivas,Raider,,2,,,,,,0,,,,,,
R. Sriram,Puneri Paltan,Raider,,1,,,,,,0,,,,,,
Narender,U.P. Yoddha,All Rounder,,3,,,,,,,0,,,,,
